ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-2661N|uniprotkb:P23708	DIP-2662N|uniprotkb:Q62725	 -	-	-	-	MI:0019(coimmunoprecipitation)|MI:0004(affinity chromatography technology)|MI:0030(cross-linking study)|MI:0018(two hybrid)	-	pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-3495E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-2660N|refseq:NP_113741|uniprotkb:P63140	DIP-2662N|uniprotkb:Q62725	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)|MI:0019(coimmunoprecipitation)|MI:0030(cross-linking study)	-	pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S|pubmed:8754798|pubmed:DIP-1021S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-3496E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-2904N|refseq:NP_062206|uniprotkb:P25114	DIP-2904N|refseq:NP_062206|uniprotkb:P25114	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:8805587|pubmed:DIP-17124S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-3921E	dip-quality-status:core	dip:0004(small scale)		-
DIP-2863N|refseq:NP_037319|uniprotkb:P10686	DIP-2861N|refseq:NP_035447|uniprotkb:Q60749	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0045(experimental interaction detection)	-	pubmed:7799925|pubmed:DIP-1026S|pubmed:7799925|pubmed:DIP-1026S	taxid:10116(Rattus norvegicus)	taxid:10090(Mus musculus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-3863E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5715N|refseq:NP_036742|uniprotkb:P07174	DIP-5718N|uniprotkb:Q03351	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:9927421|pubmed:DIP-1121S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-9792E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5716N|refseq:NP_067600|uniprotkb:P35739	DIP-5715N|refseq:NP_036742|uniprotkb:P07174	 -	-	-	-	MI:0030(cross-linking study)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:9927421|pubmed:DIP-1121S|pubmed:19549834|pubmed:DIP-12814S|pubmed:19549834|pubmed:DIP-12814S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-9790E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-5717N|refseq:NP_036863|uniprotkb:Q63604	DIP-5715N|refseq:NP_036742|uniprotkb:P07174	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:9927421|pubmed:DIP-1121S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-9791E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5789N|refseq:NP_002382|uniprotkb:P21741	DIP-5790N|refseq:NP_036895|uniprotkb:Q03348	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10212223|pubmed:DIP-1250S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10069E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5791N|refseq:NP_034914|uniprotkb:P12025	DIP-5790N|refseq:NP_036895|uniprotkb:Q03348	 -	-	-	-	MI:0401(biochemical)	-	pubmed:10212223|pubmed:DIP-1250S	taxid:10090(Mus musculus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10070E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29078N|uniprotkb:P63279	DIP-5963N|refseq:NP_036634|uniprotkb:P15207	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:10383460|pubmed:DIP-1557S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10887E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5932N|refseq:NP_113975|uniprotkb:O88850	DIP-125N|uniprotkb:P10275	 -	-	-	-	MI:0416(fluorescence microscopy)|MI:0018(two hybrid)|MI:0401(biochemical)|MI:0401(biochemical)	-	pubmed:9725910|pubmed:DIP-1474S|pubmed:9725910|pubmed:DIP-1474S|pubmed:9725910|pubmed:DIP-1474S|pubmed:9725910|pubmed:DIP-1474S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10652E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5963N|refseq:NP_036634|uniprotkb:P15207	DIP-5994N|refseq:NP_062055	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0004(affinity chromatography technology)	-	pubmed:9710597|pubmed:DIP-1548S|pubmed:10617653|pubmed:DIP-1550S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-10876E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-5963N|refseq:NP_036634|uniprotkb:P15207	DIP-6001N|uniprotkb:P12841	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9211894|pubmed:DIP-363S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10893E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6040N|refseq:NP_068639|uniprotkb:O54769	DIP-6041N|uniprotkb:Q63709	 -	-	-	-	MI:0107(surface plasmon resonance)	-	pubmed:10766846|pubmed:DIP-1582S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10936E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5716N|refseq:NP_067600|uniprotkb:P35739	DIP-6042N|refseq:NP_571139|uniprotkb:O73797	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:9580190|pubmed:DIP-1583S	taxid:10116(Rattus norvegicus)	taxid:7955(Danio rerio)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10937E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5712N|refseq:NP_002497|uniprotkb:P01138	DIP-5716N|refseq:NP_067600|uniprotkb:P35739	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10722747|pubmed:DIP-1585S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10938E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5719N|refseq:NP_733928|uniprotkb:P23560	DIP-5716N|refseq:NP_067600|uniprotkb:P35739	 -	-	-	-	MI:0030(cross-linking study)	-	pubmed:10722747|pubmed:DIP-1585S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10939E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6074N|refseq:NP_058910|uniprotkb:P49799	DIP-6073N|refseq:NP_037277|uniprotkb:P10824	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:9108480|pubmed:DIP-1608S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10961E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6112N|refseq:NP_036861|uniprotkb:P00763	DIP-6113N|uniprotkb:P00974	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:7683059|pubmed:DIP-1630S	taxid:10116(Rattus norvegicus)	taxid:9913(Bos taurus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10984E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6114N|refseq:NP_062161|uniprotkb:P08592	DIP-6112N|refseq:NP_036861|uniprotkb:P00763	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:8478942|pubmed:DIP-1631S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-10985E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5963N|refseq:NP_036634|uniprotkb:P15207	DIP-653N|refseq:NP_068607|uniprotkb:P17325	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9211894|pubmed:DIP-363S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10892E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5962N|refseq:NP_445789	DIP-5963N|refseq:NP_036634|uniprotkb:P15207	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9920921|pubmed:DIP-1526S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10799E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5965N|uniprotkb:P03372	DIP-5962N|refseq:NP_445789	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11117529|pubmed:DIP-1527S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10801E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5966N|uniprotkb:Q92731	DIP-5962N|refseq:NP_445789	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11117529|pubmed:DIP-1527S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10802E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5962N|refseq:NP_445789	DIP-5967N|uniprotkb:P06401	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11117529|pubmed:DIP-1527S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-10803E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6132N|refseq:NP_742031|uniprotkb:Q02293	DIP-6131N|refseq:NP_036979|uniprotkb:Q04631	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	-	pubmed:9657673|pubmed:DIP-1655S|pubmed:9065406|pubmed:DIP-17988S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-11003E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)		-
DIP-6138N|refseq:NP_619715|uniprotkb:Q08603	DIP-6137N|refseq:NP_113842|uniprotkb:Q08602	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:10745007|pubmed:DIP-1659S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-11007E	dip-quality-status:core	dip:0002(small scale)		-
DIP-6139N|refseq:NP_058812|uniprotkb:Q07009	DIP-6140N|uniprotkb:Q64537	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0071(molecular sieving)|MI:0071(molecular sieving)	-	pubmed:10417423|pubmed:DIP-1660S|pubmed:19020623|pubmed:DIP-15415S|pubmed:19020622|pubmed:DIP-15414S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-11008E	dip-quality-status:core	dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-6248N|refseq:NP_058952|uniprotkb:P26342	DIP-6247N|refseq:NP_067589|uniprotkb:P17246	 -	-	-	-	MI:0401(biochemical)	-	pubmed:11282024|pubmed:DIP-1736S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-11083E	dip-quality-status:core	dip:0002(small scale)		-
DIP-17016N|uniprotkb:O08816	DIP-17015N|uniprotkb:O43516	 -	-	-	-	MI:0049(filter binding)|MI:0004(affinity chromatography technology)|MI:0077(nuclear magnetic resonance)	-	pubmed:12437929|pubmed:DIP-2514S|pubmed:10878810|pubmed:DIP-2515S|pubmed:12437929|pubmed:DIP-2514S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-18673E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-17016N|uniprotkb:O08816	DIP-6082N|uniprotkb:P60953-1	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:10878810|pubmed:DIP-2515S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18852E	dip-quality-status:core	dip:0002(small scale)		-
DIP-17016N|uniprotkb:O08816	DIP-639N|refseq:NP_006144|uniprotkb:P16333	 -	-	-	-	MI:0004(affinity chromatography technology)	-	pubmed:10878810|pubmed:DIP-2515S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)	MI:0465(dip)	DIP-18853E	dip-quality-status:core	dip:0002(small scale)		-
DIP-24204N|uniprotkb:P21851	DIP-24203N|refseq:NP_001202|uniprotkb:O60566	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:12419313|pubmed:DIP-3817S|pubmed:12419313|pubmed:DIP-3817S|pubmed:12419313|pubmed:DIP-3817S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40090E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-24206N|refseq:NP_004327|uniprotkb:O43683	DIP-24204N|uniprotkb:P21851	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:12419313|pubmed:DIP-3817S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-40092E	dip-quality-status:core	dip:0002(small scale)		-
DIP-28140N|uniprotkb:P09416	DIP-28138N|uniprotkb:P05554	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12873812|pubmed:DIP-4325S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-56666E	dip-quality-status:core	dip:0002(small scale)		-
DIP-28140N|uniprotkb:P09416	DIP-28139N|uniprotkb:P21272	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:12873812|pubmed:DIP-4325S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-56667E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29021N|uniprotkb:P68135	DIP-29020N|uniprotkb:P04692	 -	-	-	-	MI:0027(cosedimentation)	-	pubmed:16407064|pubmed:DIP-4368S	taxid:9986(Oryctolagus cuniculus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57023E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29029N|refseq:NP_067731|uniprotkb:O08679	DIP-29029N|refseq:NP_067731|uniprotkb:O08679	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:16472737|pubmed:DIP-4375S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57030E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29117N|uniprotkb:P63086	DIP-29118N|refseq:NP_002823|uniprotkb:P35236	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:16765894|pubmed:DIP-4430S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57132E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29119N|refseq:NP_109587|uniprotkb:P36507	DIP-29117N|uniprotkb:P63086	 -	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:16765894|pubmed:DIP-4430S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57133E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29191N|refseq:NP_074052|uniprotkb:Q62768	DIP-29191N|refseq:NP_074052|uniprotkb:Q62768	-	-	-	-	MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)|MI:0077(nuclear magnetic resonance)|MI:0114(x-ray crystallography)	-	pubmed:16732694|pubmed:DIP-4472S|pubmed:16732694|pubmed:DIP-4472S|pubmed:16732694|pubmed:DIP-4472S|pubmed:16732694|pubmed:DIP-4472S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57207E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29192N|refseq:NP_446397|uniprotkb:Q9JIS1	DIP-29191N|refseq:NP_074052|uniprotkb:Q62768	 -	-	-	-	MI:0065(isothermal titration calorimetry)|MI:0071(molecular sieving)|MI:0077(nuclear magnetic resonance)|MI:0114(x-ray crystallography)	-	pubmed:16732694|pubmed:DIP-4472S|pubmed:16732694|pubmed:DIP-4472S|pubmed:16732694|pubmed:DIP-4472S|pubmed:16732694|pubmed:DIP-4472S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57208E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29205N|refseq:NP_112253|uniprotkb:P60881	DIP-29202N|uniprotkb:O16000	 -	-	-	-	MI:0400(affinity technology)	-	pubmed:16895441|pubmed:DIP-4476S	taxid:10116(Rattus norvegicus)	taxid:6239(Caenorhabditis elegans)	MI:0915(physical association)	MI:0465(dip)	DIP-57224E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29245N|refseq:NP_113927|uniprotkb:Q62897	DIP-29246N|uniprotkb:Q9NZI2	 -	-	-	-	MI:0114(x-ray crystallography)|MI:0096(pull down)|MI:0826(x ray scattering)	-	pubmed:17057713|pubmed:DIP-4500S|pubmed:17057713|pubmed:DIP-4500S|pubmed:17057713|pubmed:DIP-4500S	taxid:10116(Rattus norvegicus)	taxid:9606(Homo sapiens)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57269E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-29257N|uniprotkb:P22756	DIP-29257N|uniprotkb:P22756	-	-	-	-	MI:0028(cosedimentation in solution)	-	pubmed:17115050|pubmed:DIP-4507S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-57283E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29256N|refseq:NP_062182|uniprotkb:P42260	DIP-29256N|refseq:NP_062182|uniprotkb:P42260	-	-	-	-	MI:0114(x-ray crystallography)|MI:0067(light scattering)|MI:0071(molecular sieving)|MI:0028(cosedimentation in solution)|MI:0028(cosedimentation in solution)|MI:0028(cosedimentation in solution)|MI:0114(x-ray crystallography)|MI:0030(cross-linking study)|MI:0410(electron tomography)|MI:0071(molecular sieving)	-	pubmed:19465914|pubmed:DIP-12535S|pubmed:19465914|pubmed:DIP-12535S|pubmed:25119039|pubmed:DIP-16963S|pubmed:19617541|pubmed:DIP-16600S|pubmed:19465914|pubmed:DIP-12535S|pubmed:17115050|pubmed:DIP-4507S|pubmed:17115050|pubmed:DIP-4507S|pubmed:20404149|pubmed:DIP-14895S|pubmed:25119039|pubmed:DIP-16963S|pubmed:19465914|pubmed:DIP-12535S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57284E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-29265N|refseq:NP_112257|uniprotkb:P34926	DIP-29264N|refseq:NP_062567|uniprotkb:P31016	 -	-	-	-	MI:0096(pull down)|MI:0077(nuclear magnetic resonance)|MI:0017(classical fluorescence spectroscopy)|MI:0081(peptide array)	-	pubmed:17220895|pubmed:DIP-4514S|pubmed:17220895|pubmed:DIP-4514S|pubmed:17220895|pubmed:DIP-4514S|pubmed:17220895|pubmed:DIP-4514S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57291E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5720N|uniprotkb:Q16620	DIP-29351N|refseq:NP_543161|uniprotkb:Q03114	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)|MI:0424(protein kinase assay)|MI:0424(protein kinase assay)	-	pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S	taxid:9606(Homo sapiens)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-57408E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5717N|refseq:NP_036863|uniprotkb:Q63604	DIP-29351N|refseq:NP_543161|uniprotkb:Q03114	 -	-	-	-	MI:0424(protein kinase assay)|MI:0424(protein kinase assay)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-57410E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-5718N|uniprotkb:Q03351	DIP-29351N|refseq:NP_543161|uniprotkb:Q03114	 -	-	-	-	MI:0424(protein kinase assay)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)|MI:0915(physical association)	MI:0465(dip)	DIP-57411E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29400N|refseq:NP_077381	DIP-29400N|refseq:NP_077381	-	-	-	-	MI:0114(x-ray crystallography)	-	pubmed:17529994|pubmed:DIP-4550S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0407(direct interaction)	MI:0465(dip)	DIP-58773E	dip-quality-status:core	dip:0002(small scale)		-
DIP-29351N|refseq:NP_543161|uniprotkb:Q03114	DIP-29352N|refseq:NP_446343|uniprotkb:P61810	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-58913E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-29351N|refseq:NP_543161|uniprotkb:Q03114	DIP-5716N|refseq:NP_067600|uniprotkb:P35739	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17341134|pubmed:DIP-4535S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)	MI:0465(dip)	DIP-58916E	dip-quality-status:core	dip:0002(small scale)		-
DIP-5717N|refseq:NP_036863|uniprotkb:Q63604	DIP-29352N|refseq:NP_446343|uniprotkb:P61810	 -	-	-	-	MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S|pubmed:17341134|pubmed:DIP-4535S	taxid:10116(Rattus norvegicus)	taxid:10116(Rattus norvegicus)	MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-58917E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
